code	name	currentratio	quickratio	cashratio	c_name	currentratio_mean	quickratio_mean	cashratio_mean
300283	温州宏丰	1.1333999633789062	0.5213000178337097	6.347300052642822	电器行业	2.7791363802823152	2.2122418186881325	73.3054815118963
000753	漳州发展	1.770799994468689	0.7379999756813049	55.74509811401367	汽车制造	2.3937068955571044	2.0345823630398394	109.02280992620132
000952	广济药业	0.5134999752044678	0.38999998569488525	12.476099967956543	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
002004	华邦健康	1.1744999885559082	1.0506000518798828	52.55970001220703	农药化肥	2.071261541201518	1.7379743884771297	93.58927158208994
600119	长江投资	1.1972999572753906	1.0164999961853027	30.059799194335938	交通运输	1.5517024352419666	1.323282922004781	70.90286702935289
300296	利亚德	1.3623000383377075	0.8661999702453613	39.29499816894531	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
600393	粤泰股份	3.6547999382019043	1.517899990081787	48.00199890136719	房地产	2.3749211862430735	0.9847728795671867	57.354560161041
002714	牧原股份	0.6452999711036682	0.1509999930858612	13.000900268554688	农林牧渔	2.665835027396679	1.8362499850491683	67.9296720345815
603885	吉祥航空	0.8181999921798706	0.8062999844551086	44.59000015258789	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
600143	金发科技	1.5443999767303467	1.104599952697754	31.921499252319336	塑料制品	2.7752874745056033	2.301096891053021	87.33712854981422
601966	玲珑轮胎	0.9077000021934509	0.6571000218391418	29.618799209594727	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002234	民和股份	0.7804999947547913	0.45329999923706055	34.58380126953125	农林牧渔	2.665835027396679	1.8362499850491683	67.9296720345815
002535	林州重机	1.0199999809265137	0.8206999897956848	27.32379913330078	机械行业	2.576087673382806	1.9909660143071208	65.21263996720901
000977	浪潮信息	1.4952000379562378	0.9498999714851379	31.25349998474121	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
000151	中成股份	1.5540000200271606	1.4722000360488892	118.18699645996094	物资外贸	1.493720006942749	1.2387099996209145	46.65907444953918
603100	川仪股份	1.559999942779541	1.2279000282287598	25.109100341796875	仪器仪表	3.7520375214517117	2.9810124964763722	121.28594740231831
600131	岷江水电	0.19900000095367432	0.1979999989271164	16.13719940185547	电力行业	1.1854661006038472	1.0848542514999033	59.70712847830885
600100	同方股份	1.1268999576568604	0.7806000113487244	27.986299514770508	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
600112	天成控股	0.753000020980835	0.6151999831199646	8.679300308227539	电器行业	2.7791363802823152	2.2122418186881325	73.3054815118963
600161	天坛生物	1.6224000453948975	0.8033000230789185	47.91120147705078	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
300135	宝利国际	1.3847999572753906	1.1766999959945679	51.290199279785156	化工行业	2.529101399274973	2.0832090725848724	84.44795861611
000993	闽东电力	0.9363999962806702	0.3352000117301941	15.55109977722168	电力行业	1.1854661006038472	1.0848542514999033	59.70712847830885
600210	紫江企业	0.8909000158309937	0.58160001039505	21.251300811767578	印刷包装	2.3713300228118896	2.0642850145697595	68.49968466758727
000011	深物业A	1.5174000263214111	0.7990000247955322	75.03060150146484	房地产	2.3749211862430735	0.9847728795671867	57.354560161041
601518	吉林高速	2.1315999031066895	2.1310999393463135	199.1829071044922	公路桥梁	1.9044222119781706	1.4440166652202606	106.21208869086371
000028	国药一致	1.4709999561309814	1.1651999950408936	23.20319938659668	商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002
002314	南山控股	1.7343000173568726	0.6164000034332275	39.9359016418457	建筑建材	1.7080761458386073	1.2502590891989795	36.57006589391015
600586	金晶科技	0.6190000176429749	0.47760000824928284	32.33300018310547	玻璃行业	1.5742842131539394	1.2736473820711438	47.72536900168971
600162	香江控股	1.5455000400543213	0.6205999851226807	47.5453987121582	房地产	2.3749211862430735	0.9847728795671867	57.354560161041
600259	广晟有色	1.6664999723434448	0.8831999897956848	38.22019958496094	有色金属	2.0638089522496976	1.4554716408697528	70.95576739311218
601898	中煤能源	0.7712000012397766	0.6538000106811523	28.736099243164062	煤炭行业	1.829551324248314	1.524159457635235	62.175013065338135
603179	新泉股份	1.3775999546051025	1.0242999792099	40.35279846191406	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
601607	上海医药	1.416100025177002	1.0800000429153442	29.981300354003906	商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002
002455	百川股份	0.7972999811172485	0.5382999777793884	20.7637996673584	化工行业	2.529101399274973	2.0832090725848724	84.44795861611
002375	亚厦股份	1.493499994277954	1.3280999660491943	12.123299598693848	建筑建材	1.7080761458386073	1.2502590891989795	36.57006589391015
