code	name	debt_values
600750	江中药业	1.347
002222	福晶科技	1.302
603969	银龙股份	3.837
002235	安妮股份	1.779
600890	中房股份	4.727
300516	久之洋	0.985
002790	瑞尔特	0.686
300364	中文在线	1.729
603025	大豪科技	0.882
300558	贝达药业	0.593
300194	福安药业	-0.194
603909	合诚股份	0.651
603309	维力医疗	0.870
300066	三川智慧	1.282
600847	万里股份	0.255
300521	爱司凯	1.010
603067	振华股份	-0.174
300200	高盟新材	1.910
002833	弘亚数控	0.316
300238	冠昊生物	0.700
600059	古越龙山	0.156
600171	上海贝岭	4.331
002333	罗普斯金	0.647
300570	太辰光	0.890
000662	天夏智慧	-0.219
600206	有研新材	2.284
603168	莎普爱思	0.696
603630	拉芳家化	1.776
000670	盈方微	0.464
002484	江海股份	1.260
603199	九华旅游	0.151
603360	百傲化学	3.632
002808	苏州恒久	0.862
300052	中青宝	0.494
300578	会畅通讯	2.164
002680	长生生物	1.854
300192	科斯伍德	1.385
600276	恒瑞医药	1.706
002379	宏创控股	2.696
002148	北纬科技	0.619
300268	佳沃股份	3.378
600777	新潮能源	0.266
603041	美思德	1.340
002261	拓维信息	0.222
002380	科远股份	2.751
002224	三力士	2.236
000996	中国中期	1.392
000007	全新好	0.626
600652	游久游戏	-0.285
603669	灵康药业	0.850
600880	博瑞传播	0.829
300488	恒锋工具	-0.191
603232	格尔软件	0.604
600563	法拉电子	1.166
002795	永和智控	0.453
000408	藏格控股	2.105
002577	雷柏科技	0.521
002609	捷顺科技	2.165
000752	西藏发展	1.361
300308	中际旭创	0.869
300351	永贵电器	0.356
300445	康斯特	1.601
300295	三六五网	1.499
300341	麦迪电气	2.534
300481	濮阳惠成	0.464
300501	海顺新材	0.495
002690	美亚光电	3.843
300653	正海生物	1.825
603663	三祥新材	0.510
300306	远方信息	0.243
002658	雪迪龙	1.191
300399	京天利	2.255
002195	二三四五	1.587
603203	快克股份	0.863
002750	龙津药业	1.037
603330	上海天洋	0.726
002801	微光股份	0.583
300086	康芝药业	0.722
300560	中富通	0.588
300606	金太阳	0.707
002338	奥普光电	1.112
300453	三鑫医疗	-0.074
000019	深深宝A	0.546
300515	三德科技	1.103
603806	福斯特	0.913
002406	远东传动	0.862
002095	生意宝	1.949
600615	丰华股份	5.387
002389	南洋科技	-0.244
002370	亚太药业	0.679
300623	捷捷微电	0.985
603656	泰禾光电	1.313
002058	威尔泰	0.998
300259	新天科技	1.615
300298	三诺生物	0.110
002667	鞍重股份	2.780
300414	中光防雷	1.928
603306	华懋科技	1.330
002767	先锋电子	0.456
002809	红墙股份	0.460
300401	花园生物	-0.215
600311	荣华实业	-0.374
600838	上海九百	0.948
300533	冰川网络	1.225
002515	金字火腿	0.068
603608	天创时尚	0.093
603416	信捷电气	0.414
603999	读者传媒	1.543
300458	全志科技	2.027
300492	山鼎设计	1.221
002576	通达动力	1.136
002137	麦达数字	0.099
002485	希努尔	-0.055
300531	优博讯	0.807
002619	艾格拉斯	0.542
603585	苏利股份	0.798
300267	尔康制药	0.080
300239	东宝生物	0.139
603239	浙江仙通	0.095
002725	跃岭股份	0.495
300079	数码科技	0.715
002798	帝欧家居	0.324
300132	青松股份	0.218
300480	光力科技	1.371
300061	康旗股份	0.204
603866	桃李面包	-0.299
300179	四方达	1.120
300403	地尔汉宇	2.309
600867	通化东宝	-0.058
002273	水晶光电	0.208
300548	博创科技	0.366
000635	英力特	0.265
002253	川大智胜	0.520
600722	金牛化工	1.822
300236	上海新阳	1.113
300669	沪宁股份	0.150
002192	融捷股份	0.787
600370	三房巷	2.326
603005	晶方科技	1.168
603258	电魂网络	0.654
601333	广深铁路	-0.153
300211	亿通科技	0.491
300542	新晨科技	0.564
002177	御银股份	0.103
603839	安正时尚	0.984
300050	世纪鼎利	0.350
002447	晨鑫科技	-0.212
300429	强力新材	0.261
603738	泰晶科技	0.102
300144	宋城演艺	0.263
300463	迈克生物	0.043
002629	仁智股份	0.327
300610	晨化股份	0.981
603393	新天然气	0.401
002578	闽发铝业	1.555
600568	中珠医疗	2.555
002212	南洋股份	1.294
603938	三孚股份	-0.330
603096	新经典	0.109
002827	高争民爆	0.554
300304	云意电气	1.434
603566	普莱柯	0.645
000762	西藏矿业	2.813
603188	亚邦股份	0.394
002700	新疆浩源	2.531
603027	千禾味业	-0.300
002643	万润股份	0.420
002824	和胜股份	-0.172
000970	中科三环	0.661
000544	中原环保	3.013
002393	力生制药	0.183
300329	海伦钢琴	-0.008
300327	中颖电子	1.011
300039	上海凯宝	0.902
002287	奇正藏药	0.851
600160	巨化股份	0.454
300103	达刚路机	2.084
000650	仁和药业	0.103
603928	兴业股份	0.313
000848	承德露露	1.855
000989	九芝堂	0.295
000603	盛达矿业	0.872
300193	佳士科技	1.466
600201	生物股份	1.718
600055	万东医疗	1.284
002603	以岭药业	0.339
603977	国泰集团	-0.081
600543	莫高股份	0.239
002558	巨人网络	3.590
002252	上海莱士	1.781
300151	昌红科技	1.148
300120	经纬辉开	0.747
002828	贝肯能源	0.404
002646	青青稞酒	-0.196
000819	岳阳兴长	1.010
603160	汇顶科技	0.503
002826	易明医药	0.120
002812	创新股份	0.013
002435	长江润发	0.230
300234	开尔新材	0.632
300584	海辰药业	-0.200
002365	永安药业	0.067
300550	和仁科技	0.120
002362	汉王科技	0.065
300041	回天新材	0.499
600993	马应龙	0.794
300622	博士眼镜	0.680
002041	登海种业	1.163
002645	华宏科技	0.386
002763	汇洁股份	0.166
600865	百大集团	0.191
601965	中国汽研	1.340
300642	透景生命	0.349
600191	华资实业	-0.622
601616	广电电气	0.521
002756	永兴特钢	0.401
000818	航锦科技	-0.315
603958	哈森股份	-0.185
600345	长江通信	-0.308
300154	瑞凌股份	2.376
002346	柘中股份	0.722
002294	信立泰	0.246
300206	理邦仪器	0.827
000089	深圳机场	0.500
002748	世龙实业	0.356
603387	基蛋生物	-0.099
002360	同德化工	1.384
603333	明星电缆	0.740
603859	能科股份	0.279
002243	通产丽星	-0.035
002469	三维工程	3.111
300478	杭州高新	-0.036
300507	苏奥传感	0.196
300137	先河环保	0.109
002846	英联股份	0.355
300005	探路者	1.170
300290	荣科科技	0.156
000802	北京文化	1.927
600009	上海机场	1.368
002674	兴业科技	1.089
000022	深赤湾A	0.248
002633	申科股份	0.672
000915	山大华特	-0.085
002113	天润数娱	0.063
603000	人民网	0.251
603133	碳元科技	0.424
300382	斯莱克	0.697
002079	苏州固锝	0.458
603900	莱绅通灵	-0.120
002223	鱼跃医疗	1.178
600037	歌华有线	1.819
000889	茂业通信	0.137
600257	大湖股份	-0.119
300287	飞利信	0.077
300615	欣天科技	0.742
002835	同为股份	0.337
600771	广誉远	0.395
300342	天银机电	0.383
002063	远光软件	0.921
600616	金枫酒业	0.069
002832	比音勒芬	0.732
603077	和邦生物	0.149
000038	深大通	1.745
300349	金卡智能	-0.015
300408	三环集团	2.215
300150	世纪瑞尔	0.426
300026	红日药业	-0.019
600114	东睦股份	0.411
002279	久其软件	-0.089
600270	外运发展	1.839
002303	美盈森	2.079
603099	长白山	-0.349
600252	中恒集团	0.531
002819	东方中科	0.408
002440	闰土股份	0.175
002082	万邦德	1.148
002778	高科石化	-0.101
300424	航新科技	0.756
300546	雄帝科技	0.537
300302	同有科技	0.689
603389	亚振家居	0.460
002695	煌上煌	0.691
300209	天泽信息	-0.107
002561	徐家汇	1.860
600495	晋西车轴	0.778
603456	九洲药业	-0.342
002591	恒大高新	0.518
300696	爱乐达	0.631
300513	恒泰实达	0.220
603139	康惠制药	0.028
002829	星网宇达	0.404
603578	三星新材	0.306
300419	浩丰科技	-0.322
002861	瀛通通讯	-0.117
300537	广信材料	0.122
300146	汤臣倍健	0.508
000568	泸州老窖	0.516
300126	锐奇股份	0.738
002592	八菱科技	0.895
002398	建研集团	0.987
000541	佛山照明	1.502
002022	科华生物	0.627
300321	同大股份	0.305
000892	欢瑞世纪	0.626
002308	威创股份	-0.435
300612	宣亚国际	0.699
603038	华立股份	0.561
002585	双星新材	2.461
000554	泰山石油	-0.834
300529	健帆生物	0.405
300343	联创互联	-0.122
300004	南风股份	0.096
002275	桂林三金	0.313
300636	同和药业	0.341
603328	依顿电子	1.382
603997	继峰股份	0.401
000045	深纺织A	0.896
600897	厦门空港	-0.360
002213	特尔佳	0.601
603638	艾迪精密	-0.052
000592	平潭发展	0.501
603288	海天味业	0.489
603339	四方冷链	0.322
600721	百花村	-0.034
002268	卫士通	0.526
300468	四方精创	0.992
002563	森马服饰	1.302
601566	九牧王	0.702
300630	普利制药	2.103
002635	安洁科技	0.375
603838	四通股份	0.389
603878	武进不锈	-0.058
300567	精测电子	0.351
002298	中电兴发	0.100
600207	安彩高科	-0.002
600054	黄山旅游	0.504
603011	合锻智能	-0.097
603538	美诺华	0.029
002706	良信电器	0.292
300455	康拓红外	0.899
002613	北玻股份	0.517
300229	拓尔思	-0.176
002144	宏达高科	-0.347
002026	山东威达	0.506
002517	恺英网络	1.960
603637	镇海股份	0.141
601579	会稽山	-0.335
002033	丽江旅游	1.370
600987	航民股份	0.579
603200	上海洗霸	0.430
603879	永悦科技	-0.288
603033	三维股份	0.011
300017	网宿科技	0.703
300451	创业软件	-0.345
002779	中坚科技	-0.271
002153	石基信息	0.477
002425	凯撒文化	-0.458
300676	华大基因	-0.007
002529	海源机械	0.979
300166	东方国信	-0.133
600714	金瑞矿业	1.038
300386	飞天诚信	1.555
300598	诚迈科技	0.995
000886	海南高速	0.727
300053	欧比特	-0.281
002549	凯美特气	0.418
300434	金石东方	0.428
002226	江南化工	0.060
300315	掌趣科技	0.368
002254	泰和新材	0.805
603266	天龙股份	-0.221
300199	翰宇药业	1.187
300600	瑞特股份	0.068
002746	仙坛股份	0.542
300502	新易盛	-0.224
002860	星帅尔	-0.199
002634	棒杰股份	0.154
002888	惠威科技	-0.242
002106	莱宝高科	0.929
002317	众生药业	-0.268
002196	方正电机	-0.280
300247	乐金健康	-0.266
600090	同济堂	0.625
603444	吉比特	0.777
300576	容大感光	0.030
002857	三晖电气	0.354
603989	艾华集团	0.017
300101	振芯科技	0.206
603369	今世缘	0.022
300487	蓝晓科技	-0.088
603987	康德莱	-0.339
002414	高德红外	-0.213
002181	粤传媒	-0.154
300366	创意信息	-0.060
300375	鹏翎股份	0.705
603601	再升科技	1.901
002726	龙大肉食	0.378
002698	博实股份	0.464
300204	舒泰神	0.302
002003	伟星股份	-0.010
002550	千红制药	0.034
002868	绿康生化	-0.690
300604	长川科技	-0.011
300177	中海达	-0.016
603085	天成自控	-0.185
603311	金海环境	0.179
603678	火炬电子	0.098
002780	三夫户外	0.081
300045	华力创通	-0.036
300289	利德曼	-0.113
600216	浙江医药	-0.323
603090	宏盛股份	-0.229
603131	上海沪工	0.288
603078	江化微	0.996
300555	路通视信	-0.195
002719	麦趣尔	-0.031
600513	联环药业	0.507
002494	华斯股份	2.613
300292	吴通控股	-0.585
603167	渤海轮渡	0.424
600488	天药股份	1.013
600776	东方通信	-0.055
300586	美联新材	-0.239
300112	万讯自控	-0.293
002521	齐峰新材	0.424
002791	坚朗五金	-0.063
000032	深桑达A	0.241
603015	弘讯科技	0.493
000547	航天发展	0.516
002444	巨星科技	1.039
002057	中钢天源	0.262
300650	太龙照明	-0.433
002382	蓝帆医疗	-0.152
300316	晶盛机电	0.840
600135	乐凯胶片	0.404
600857	宁波中百	0.212
300390	天华超净	-0.448
300404	博济医药	0.090
002840	华统股份	-0.474
300479	神思电子	-0.007
603919	金徽酒	-0.504
002838	道恩股份	0.087
300580	贝斯特	-0.422
603517	绝味食品	0.048
002753	永东股份	-0.297
300466	赛摩电气	-0.474
002677	浙江美大	1.320
000799	酒鬼酒	-0.221
002158	汉钟精机	1.100
002107	沃华医药	0.354
600299	安迪苏	1.463
603029	天鹅股份	0.058
300510	金冠电气	-0.118
002270	华明装备	0.554
300500	启迪设计	0.100
603665	康隆达	-0.154
002199	东晶电子	0.426
000423	东阿阿胶	-0.125
603429	集友股份	0.177
002315	焦点科技	0.336
002151	北斗星通	-0.130
600620	天宸股份	2.549
002104	恒宝股份	0.106
002818	富森美	-0.534
603558	健盛集团	0.241
000795	英洛华	0.260
603986	兆易创新	0.520
000780	平庄能源	1.336
002574	明牌珠宝	-0.130
300423	鲁亿通	1.711
600640	号百控股	1.048
300012	华测检测	-0.049
300065	海兰信	0.135
300503	昊志机电	-0.061
601996	丰林集团	1.749
300396	迪瑞医疗	-0.189
300245	天玑科技	-0.061
600851	海欣股份	0.062
603818	曲美家居	0.736
600137	浪莎股份	0.402
002353	杰瑞股份	0.712
601890	亚星锚链	2.935
300436	广生堂	0.664
603798	康普顿	0.032
600382	广东明珠	2.003
300617	安靠智电	0.201
002231	奥维通信	0.050
300345	红宇新材	1.190
600088	中视传媒	0.124
600366	宁波韵升	-0.221
002169	智光电气	0.185
002327	富安娜	0.067
600084	中葡股份	2.441
002150	通润装备	0.971
300307	慈星股份	0.640
002687	乔治白	0.090
300170	汉得信息	0.081
601958	金钼股份	1.774
002836	新宏泽	-0.356
000888	峨眉山A	0.538
300682	朗新科技	0.064
300310	宜通世纪	-0.075
603066	音飞储存	-0.195
603898	好莱客	0.280
300074	华平股份	-0.204
603716	塞力斯	-0.023
600583	海油工程	-0.240
300611	美力科技	-0.021
300581	晨曦航空	0.078
600650	锦江投资	0.309
300155	安居宝	0.362
000976	华铁股份	-0.342
300098	高新兴	-0.125
000766	通化金马	-0.465
002825	纳尔股份	0.000
300573	兴齐眼药	-0.650
300420	五洋停车	-0.084
002227	奥特迅	0.362
002735	王子新材	0.577
300475	聚隆科技	0.130
603556	海兴电力	0.316
300034	钢研高纳	0.614
300347	泰格医药	-0.046
603001	奥康国际	0.786
002191	劲嘉股份	-0.360
300294	博雅生物	0.557
002732	燕塘乳业	-0.454
002330	得利斯	-0.596
300338	开元股份	-0.600
300557	理工光科	0.286
600233	圆通速递	0.333
002642	荣之联	-0.315
300605	恒锋信息	-0.125
300224	正海磁材	0.268
300505	川金诺	-0.027
002718	友邦吊顶	0.409
002043	兔宝宝	0.887
300528	幸福蓝海	-0.179
300233	金城医药	-0.382
300597	吉大通信	0.107
002661	克明面业	-0.095
002117	东港股份	0.037
000985	大庆华科	0.402
600602	云赛智联	0.137
002631	德尔未来	0.148
002657	中科金财	0.265
300452	山河药辅	0.386
300368	汇金股份	0.258
300280	南通锻压	0.388
000088	盐田港	3.200
603098	森特股份	-0.381
600197	伊力特	0.495
601000	唐山港	0.322
000726	鲁泰A	-0.485
300638	广和通	0.349
000004	国农科技	0.432
000637	茂化实华	-0.146
600302	标准股份	0.332
002088	鲁阳节能	-0.283
300427	红相股份	1.464
002152	广电运通	-0.029
000919	金陵药业	-0.178
002602	世纪华通	-0.344
002757	南兴装备	-0.334
600436	片仔癀	0.045
603165	荣晟环保	-0.507
300562	乐心医疗	-0.068
601208	东材科技	-0.180
000990	诚志股份	-0.127
600637	东方明珠	0.010
300164	通源石油	0.122
002533	金杯电工	0.685
002282	博深工具	0.096
300277	海联讯	0.252
002127	南极电商	0.429
001965	招商公路	0.674
600674	川投能源	-0.701
002186	全聚德	0.323
600613	神奇制药	-0.253
002497	雅化集团	-0.494
603159	上海亚虹	-0.544
300046	台基股份	-0.055
300113	顺网科技	-0.085
300353	东土科技	-0.319
002793	东音股份	-0.342
600735	新华锦	0.494
300635	达安股份	0.174
603988	中电电机	0.345
603022	新通联	-0.360
002651	利君股份	0.904
002734	利民股份	0.025
600365	通葡股份	-0.167
002286	保龄宝	-0.561
002173	创新医疗	0.380
300625	三雄极光	0.112
603060	国检集团	0.117
300019	硅宝科技	0.202
300105	龙源技术	-0.200
300141	和顺电气	0.866
603868	飞科电器	-0.109
300448	浩云科技	-0.330
002587	奥拓电子	0.130
300251	光线传媒	0.425
002853	皮阿诺	0.179
603198	迎驾贡酒	-0.212
300428	四通新材	-0.456
600219	南山铝业	-0.138
603313	梦百合	0.097
300395	菲利华	1.326
000557	西部创业	-0.700
300359	全通教育	-0.394
002446	盛路通信	-0.304
600099	林海股份	0.679
002171	楚江新材	0.243
601888	中国国旅	0.765
002782	可立克	-0.228
603116	红蜻蜓	-0.142
300196	长海股份	1.084
600076	康欣新材	-0.596
300286	安科瑞	-0.089
600529	山东药玻	0.692
002034	旺能环境	0.283
002229	鸿博股份	0.242
300024	机器人	0.700
000008	神州高铁	-0.416
300119	瑞普生物	-0.340
002787	华源控股	-0.518
000677	恒天海龙	-0.165
002796	世嘉科技	-0.378
000685	中山公用	-0.488
002161	远望谷	-0.572
300036	超图软件	-0.103
002866	传艺科技	-0.346
002214	大立科技	-0.296
002522	浙江众成	0.447
000025	特力A	-0.411
300633	开立医疗	0.057
002852	道道全	0.172
300437	清水源	-0.090
300217	东方电热	-0.078
600727	鲁北化工	-0.095
603660	苏州科达	-0.308
300225	金力泰	0.036
300078	思创医惠	-0.088
300037	新宙邦	-0.036
603998	方盛制药	-0.217
002821	凯莱英	0.112
000711	京蓝科技	-0.275
300055	万邦达	0.929
000581	威孚高科	-0.011
300031	宝通科技	-0.248
002568	百润股份	-0.361
600826	兰生股份	1.677
300554	三超新材	-0.468
300569	天能重工	-0.186
603519	立霸股份	0.965
002799	环球印务	-0.574
603589	口子窖	-0.476
002098	浔兴股份	-0.363
601858	中国科传	0.382
300246	宝莱特	-0.140
002572	索菲亚	0.805
300432	富临精工	-0.179
002409	雅克科技	-0.144
002773	康弘药业	0.814
002507	涪陵榨菜	-0.281
300556	丝路视觉	-0.110
000738	航发控制	0.411
300195	长荣股份	0.715
300360	炬华科技	0.051
002519	银河电子	-0.192
603338	浙江鼎力	0.461
002666	德联集团	0.021
300102	乾照光电	-0.168
300627	华测导航	0.315
300165	天瑞仪器	-0.028
603086	先达股份	-0.502
603496	恒为科技	-0.285
300253	卫宁健康	-0.332
300326	凯利泰	-0.278
300222	科大智能	-0.372
002478	常宝股份	1.826
603218	日月股份	-0.218
002562	兄弟科技	-0.110
600378	天科股份	0.388
002458	益生股份	-0.713
000858	五粮液	0.545
300498	温氏股份	-0.743
000929	兰州黄河	0.220
000998	隆平高科	-0.123
002439	启明星辰	-0.262
300285	国瓷材料	0.280
002492	恒基达鑫	0.461
600516	方大炭素	-0.001
600062	华润双鹤	-0.316
300049	福瑞股份	0.841
300350	华鹏飞	-0.087
300092	科新机电	-0.217
300585	奥联电子	-0.089
603979	金诚信	-0.241
002372	伟星新材	1.088
300158	振东制药	-0.481
300035	中科电气	-0.041
300064	豫金刚石	0.279
603899	晨光文具	-0.374
300008	天海防务	-0.266
603966	法兰泰克	-0.070
300571	平治信息	0.438
000576	广东甘化	0.496
000673	当代东方	0.172
603006	联明股份	-0.379
600080	金花股份	-0.759
002250	联化科技	0.445
000609	中迪投资	0.527
600854	春兰股份	-0.314
002412	汉森制药	-0.693
600356	恒丰纸业	0.245
002056	横店东磁	-0.263
300330	华虹计通	-0.260
300456	耐威科技	-0.286
300667	必创科技	-0.437
000519	中兵红箭	0.166
300188	美亚柏科	-0.174
002337	赛象科技	0.109
600658	电子城	3.509
002871	伟隆股份	-0.441
601717	郑煤机	0.788
603860	中公高科	-0.081
600894	广日股份	0.375
300552	万集科技	-0.290
002391	长青股份	-0.386
300134	大富科技	0.056
002605	姚记扑克	-0.658
300242	佳云科技	-0.454
603366	日出东方	0.105
600688	上海石化	-0.426
300162	雷曼股份	0.087
300365	恒华科技	-0.187
002849	威星智能	-0.128
002755	东方新星	0.224
300551	古鳌科技	-0.068
002761	多喜爱	-0.329
603858	步长制药	-0.610
300491	通合科技	-0.186
000833	贵糖股份	0.624
002772	众兴菌业	0.074
300009	安科生物	-0.694
002014	永新股份	0.104
600982	宁波热电	2.011
600558	大西洋	0.566
002114	罗平锌电	-0.527
300348	长亮科技	0.631
002395	双象股份	-0.131
603758	秦安股份	-0.717
002012	凯恩股份	0.041
300263	隆华节能	-0.108
000869	张裕A	-0.465
603727	博迈科	-0.119
603003	龙宇燃油	0.156
002086	东方海洋	-0.083
002741	光华科技	-0.188
600490	鹏欣资源	0.547
300441	鲍斯股份	-0.316
600628	新世界	0.110
002123	梦网集团	-0.047
002557	洽洽食品	-0.413
601801	皖新传媒	0.174
300220	金运激光	-0.140
300421	力星股份	-0.175
300159	新研股份	0.216
002571	德力股份	-0.109
603991	至正股份	-0.444
600215	长春经开	-0.343
600770	综艺股份	-0.515
000729	燕京啤酒	-0.714
600353	旭光股份	-0.074
300129	泰胜风能	-0.089
600703	三安光电	1.105
000938	紫光股份	-0.537
603658	安图生物	-0.571
300631	久吾高科	-0.106
603158	腾龙股份	-0.170
300538	同益股份	-0.210
300397	天和防务	-0.438
002428	云南锗业	-0.414
300324	旋极信息	-0.103
300688	创业黑马	0.221
600330	天通股份	-0.474
300483	沃施股份	-0.333
600592	龙溪股份	-0.001
300412	迦南科技	0.038
603128	华贸物流	0.587
300331	苏大维格	-0.325
603528	多伦科技	-0.101
002441	众业达	0.392
600159	大龙地产	0.087
002783	凯龙股份	-0.575
300482	万孚生物	0.150
600585	海螺水泥	0.406
002020	京新药业	-0.499
002850	科达利	-0.202
603028	赛福天	-0.570
002238	天威视讯	-0.128
002246	北化股份	-0.200
601006	大秦铁路	-0.176
002461	珠江啤酒	0.263
300181	佐力药业	-0.334
002569	步森股份	0.275
603533	掌阅科技	0.198
002304	洋河股份	-0.476
300607	拓斯达	-0.065
600187	国中水务	0.846
002895	川恒股份	-0.727
603980	吉华集团	-0.586
300471	厚普股份	-0.435
300540	深冷股份	-0.343
300002	神州泰岳	-0.476
603667	五洲新春	-0.575
603223	恒通股份	-0.715
603888	新华网	1.291
300678	中科信息	-0.487
002242	九阳股份	0.272
002675	东诚药业	-0.390
000529	广弘控股	-0.089
600824	益民集团	-0.321
300470	日机密封	0.983
300440	运达科技	0.037
002842	翔鹭钨业	-0.327
300032	金龙机电	-0.040
002334	英威腾	0.043
300460	惠伦晶体	-0.454
300114	中航电测	-0.161
002108	沧州明珠	0.072
300171	东富龙	-0.074
300084	海默科技	-0.527
603896	寿仙谷	-0.850
002049	紫光国微	0.163
300599	雄塑科技	-0.195
300462	华铭智能	-0.249
600538	国发股份	-0.158
300010	立思辰	-0.565
300549	优德精密	-0.363
603010	万盛股份	0.115
300489	中飞股份	-0.701
603808	歌力思	-0.079
300447	全信股份	-0.239
000836	鑫茂科技	-0.336
603300	华铁科技	0.093
300410	正业科技	-0.539
603701	德宏股份	-0.436
603208	江山欧派	-0.196
600232	金鹰股份	-0.206
300380	安硕信息	-0.152
002424	贵州百灵	-0.226
002438	江苏神通	0.085
002598	山东章鼓	-0.253
600229	城市传媒	0.084
002258	利尔化学	-0.406
600579	天华院	-0.041
300373	扬杰科技	-0.285
300602	飞荣达	-0.117
600566	济川药业	-0.334
002584	西陇科学	-0.203
002468	申通快递	2.019
000156	华数传媒	0.433
300319	麦捷科技	-0.095
600305	恒顺醋业	-0.676
002555	三七互娱	-0.295
002847	盐津铺子	-0.356
601595	上海电影	-0.154
002816	和科达	-0.346
300339	润和软件	-0.620
300651	金陵体育	-0.740
603960	克来机电	-0.157
002331	皖通科技	-0.126
600718	东软集团	-0.345
002472	双环传动	-0.375
002476	宝莫股份	0.194
000665	湖北广电	-0.861
300255	常山药业	-0.080
002396	星网锐捷	-0.286
600012	皖通高速	1.082
600493	凤竹纺织	-0.444
300202	聚龙股份	3.931
600130	波导股份	-0.330
300539	横河模具	-0.743
603788	宁波高发	0.064
300577	开润股份	-0.270
002296	辉煌科技	0.303
000786	北新建材	0.037
300400	劲拓股份	0.650
603777	来伊份	-0.314
603639	海利尔	-0.178
000793	华闻传媒	-0.189
603908	牧高笛	-0.202
002467	二六三	-0.279
603817	海峡环保	-0.708
000823	超声电子	-0.243
002879	长缆科技	-0.197
600468	百利电气	-0.060
002383	合众思壮	-0.476
300593	新雷能	0.025
600679	上海凤凰	-0.658
300269	联建光电	-0.686
300182	捷成股份	-0.554
002703	浙江世宝	-0.204
300383	光环新网	-0.392
601098	中南传媒	0.239
