code	name	roe	gross_profit_rate	
603517	绝味食品	4.93	34.6666	
603188	亚邦股份	4.91	49.3821	
600567	山鹰纸业	4.91	25.3258	
603980	吉华集团	4.9	28.7156	
000933	神火股份	4.89	25.1761	
603179	新泉股份	4.87	21.604	
601689	拓普集团	4.87	30.1232	
002074	国轩高科	4.87	38.1498	
300577	开润股份	4.87	28.7375	
300160	秀强股份	4.85	35.5781	
300418	昆仑万维	4.83	76.6148	
300115	长盈精密	4.83	26.7792	
600828	茂业商业	4.82	25.8755	
002108	沧州明珠	4.81	32.1167	
300529	健帆生物	4.79	82.7192	
002887	绿茵生态	4.78	36.9023	
000581	威孚高科	4.77	19.8856	
002172	澳洋科技	4.76	12.3255	
603167	渤海轮渡	4.76	34.9141	
600345	长江通信	4.76	6.7407	
600715	文投控股	4.76	44.973	
300043	星辉娱乐	4.75	32.1481	
603037	凯众股份	4.74	48.4911	
600036	招商银行	4.74	44.3697	
002815	崇达技术	4.73	32.6041	
600971	恒源煤电	4.72	35.4563	
600179	安通控股	4.71	23.756	
000688	建新矿业	4.71	60.3144	
603229	奥翔药业	4.71	57.7815	
000932	华菱钢铁	4.69	7.9483	
603658	安图生物	4.68	70.3365	
002143	印纪传媒	4.68	56.8008	
002493	荣盛石化	4.67	6.8438	
600346	恒力股份	4.66	16.1441	
603355	莱克电气	4.66	30.7877	
002222	福晶科技	4.65	61.1859	
603533	掌阅科技	4.65	31.0409	
600885	宏发股份	4.64	42.3508	
600829	人民同泰	4.63	10.639000000000001	
000887	中鼎股份	4.63	30.5584	
300498	温氏股份	4.6	17.81	
603579	荣泰健康	4.59	39.6248	
600694	大商股份	4.59	22.7553	
603997	继峰股份	4.58	35.001	
002081	金螳螂	4.58	15.7424	
600668	尖峰集团	4.57	28.9962	
002142	宁波银行	4.57	44.4578	
600966	博汇纸业	4.56	24.5024	
600056	中国医药	4.56	13.3714	
002615	哈尔斯	4.56	34.1222	
601388	怡球资源	4.53	10.8084	
002601	龙蟒佰利	4.53	39.7749	
600606	绿地控股	4.52	14.8415	
600487	亨通光电	4.5	21.7925	
000930	中粮生化	4.49	15.5477	
000501	鄂武商A	4.48	20.9694	
002832	比音勒芬	4.45	62.8619	
002203	海亮股份	4.45	7.1746	
601101	昊华能源	4.43	38.5965	
002470	金正大	4.41	19.2141	
000538	云南白药	4.4	30.5344	
603429	集友股份	4.4	55.8247	
601997	贵阳银行	4.39	38.4583	
002424	贵州百灵	4.39	62.5782	
000063	中兴通讯	4.39	32.1995	
603320	迪贝电气	4.38	17.746	
002847	盐津铺子	4.37	49.0948	
600808	马钢股份	4.36	11.4412	
600161	天坛生物	4.35	54.0552	
300408	三环集团	4.34	47.0263	
603639	海利尔	4.33	34.3987	
603501	韦尔股份	4.32	19.2281	
300656	民德电子	4.32	49.7541	
002739	万达电影	4.31	33.2145	
600684	珠江实业	4.3	35.0218	
002558	巨人网络	4.29	81.7669	
300363	博腾股份	4.29	39.5314	
601166	兴业银行	4.29	57.3583	
000723	美锦能源	4.28	26.0409	
002624	完美世界	4.28	56.2693	
603081	大丰实业	4.27	31.4604	
002179	中航光电	4.27	35.2054	
603726	朗迪集团	4.27	27.0742	
601939	建设银行	4.27	51.0867	
600993	马应龙	4.27	52.1612	
002035	华帝股份	4.25	40.7969	
600086	东方金钰	4.24	15.8598	
300549	优德精密	4.23	34.0721	
002595	豪迈科技	4.23	37.6734	
002145	中核钛白	4.23	30.1921	
002652	扬子新材	4.21	21.6951	
300299	富春股份	4.21	66.6043	
300642	透景生命	4.2	82.1841	
600572	康恩贝	4.2	68.7835	
002749	国光股份	4.18	55.2209	
601003	柳钢股份	4.18	4.3927	
002885	京泉华	4.18	22.2871	
002726	龙大肉食	4.18	9.7834	
300219	鸿利智汇	4.18	20.1541	
600499	科达洁能	4.17	22.9514	
601012	隆基股份	4.17	31.3284	
000999	华润三九	4.16	61.6942	
603337	杰克股份	4.16	30.1912	
000813	德展健康	4.15	84.6334	
600067	冠城大通	4.14	43.8661	
002357	富临运业	4.14	27.5135	
002464	众应互联	4.14	83.5993	
600373	中文传媒	4.13	41.9271	
000902	新洋丰	4.13	17.5194	
002543	万和电气	4.13	29.3393	
000920	南方汇通	4.12	44.6555	
600745	闻泰科技	4.12	6.5581	
300575	中旗股份	4.12	23.1628	
002496	辉丰股份	4.12	7.6331	
600818	中路股份	4.12	10.1396	
603989	艾华集团	4.11	35.1192	
600176	中国巨石	4.11	47.0924	
603335	迪生力	4.1	32.8284	
002092	中泰化学	4.1	26.6439	
002182	云海金属	4.1	13.1462	
600368	五洲交通	4.1	68.2725	
002293	罗莱生活	4.09	44.5671	
000030	富奥股份	4.09	17.8837	
603025	大豪科技	4.09	52.2669	
002753	永东股份	4.08	25.2933	
300643	万通智控	4.08	34.3287	
601288	农业银行	4.08	45.6829	
002434	万里扬	4.08	26.338	
002589	瑞康医药	4.07	16.6664	
600395	盘江股份	4.06	36.6283	
002354	天神娱乐	4.06	61.9186	
000513	丽珠集团	4.05	65.6218	
300267	尔康制药	4.05	37.6939	
603027	千禾味业	4.04	40.9898	
603203	快克股份	4.04	58.6222	
000059	华锦股份	4.03	23.828000000000003	
000637	茂化实华	4.03	6.8246	
600271	航天信息	4.03	15.2898	
002768	国恩股份	4.03	22.0835	
300003	乐普医疗	4.02	63.5251	
601366	利群股份	4.02	20.4668	
300394	天孚通信	4.02	61.1621	
000828	东莞控股	4.02	65.4295	
300482	万孚生物	4.0	64.925	
002818	富森美	4.0	71.1994	
600750	江中药业	4.0	68.6038	
601158	重庆水务	3.99	41.5789	
600598	北大荒	3.99	95.1389	
300342	天银机电	3.99	41.2993	
000703	恒逸石化	3.98	4.8741	
300447	全信股份	3.97	54.156000000000006	
600016	民生银行	3.97	48.4777	
601021	春秋航空	3.97	12.4771	
600213	亚星客车	3.96	18.5438	
300033	同花顺	3.96	85.1529	
601633	长城汽车	3.96	21.7373	
300039	上海凯宝	3.95	81.4582	
600872	中炬高新	3.95	39.6286	
002267	陕天然气	3.95	12.9545	
002646	青青稞酒	3.95	66.0866	
000590	启迪古汉	3.94	54.203	
000998	隆平高科	3.93	45.6937	
002083	孚日股份	3.92	27.0492	
002100	天康生物	3.92	22.8574	
002262	恩华药业	3.91	51.4275	
002871	伟隆股份	3.91	42.2086	
002507	涪陵榨菜	3.9	44.2112	
603638	艾迪精密	3.9	43.5203	
600075	新疆天业	3.9	34.8544	
000666	经纬纺机	3.9	46.167	
603313	梦百合	3.89	32.6629	
600850	华东电脑	3.88	18.1083	
601636	旗滨集团	3.88	33.7971	
300156	神雾环保	3.87	30.5178	
600803	新奥股份	3.87	27.9903	
600511	国药股份	3.86	7.4587	
300554	三超新材	3.86	47.7569	
600741	华域汽车	3.86	14.6716	
600535	天士力	3.84	32.7459	
000090	天健集团	3.84	39.9202	
002287	奇正藏药	3.84	86.0978	
300595	欧普康视	3.84	76.7324	
601009	南京银行	3.83	49.2395	
300617	安靠智电	3.83	53.8964	
600104	上汽集团	3.83	13.1826	
002419	天虹股份	3.83	25.2782	
603777	来伊份	3.83	45.8724	
601918	新集能源	3.82	42.3946	
600188	兖州煤业	3.82	12.6405	
300662	科锐国际	3.81	21.1185	
603708	家家悦	3.8	21.1782	
603600	永艺股份	3.8	20.4066	
002067	景兴纸业	3.8	24.9445	
600377	宁沪高速	3.8	54.4835	
002242	九阳股份	3.8	30.6049	
600000	浦发银行	3.8	43.4301	
600703	三安光电	3.79	45.8094	
600297	广汇汽车	3.79	10.503	
002382	蓝帆医疗	3.79	31.0842	
600674	川投能源	3.78	49.0197	
600563	法拉电子	3.78	41.83	
002709	天赐材料	3.78	36.372	
300585	奥联电子	3.78	41.7152	
600681	百川能源	3.77	29.1308	
300558	贝达药业	3.77	95.8873	
300258	精锻科技	3.77	42.5518	
600132	重庆啤酒	3.76	36.1675	
601088	中国神华	3.75	41.8591	
601216	君正集团	3.75	40.3669	
002727	一心堂	3.75	39.7809	
603199	九华旅游	3.74	55.2716	
600695	绿庭投资	3.74	93.7706	
300596	利安隆	3.73	27.4734	
002075	沙钢股份	3.73	12.1565	
601933	永辉超市	3.73	20.9314	
300657	弘信电子	3.72	14.9913	
601398	工商银行	3.72	51.9209	
002107	沃华医药	3.7	78.5997	
002191	劲嘉股份	3.7	43.7255	
601169	北京银行	3.7	50.0	
600426	华鲁恒升	3.7	20.3806	
600660	福耀玻璃	3.69	44.1545	
300296	利亚德	3.68	40.1716	
603180	金牌厨柜	3.68	34.6759	
300144	宋城演艺	3.67	61.4615	
300327	中颖电子	3.67	43.4333	
603803	瑞斯康达	3.67	56.571000000000005	
000811	冰轮环境	3.67	28.9948	
603360	百傲化学	3.67	48.7024	
600076	康欣新材	3.66	42.3847	
300384	三联虹普	3.66	40.9952	
002831	裕同科技	3.65	31.2108	
002532	新界泵业	3.65	30.415	
002085	万丰奥威	3.65	21.9208	
603766	隆鑫通用	3.65	20.9317	
300637	扬帆新材	3.64	32.8718	
002223	鱼跃医疗	3.64	41.5332	
300514	友讯达	3.64	44.4481	
600873	梅花生物	3.63	28.8528	
603258	电魂网络	3.63	93.1706	
600085	同仁堂	3.63	46.0214	
002640	跨境通	3.63	49.3062	
601231	环旭电子	3.63	11.4352	
002352	顺丰控股	3.62	20.1037	
300511	雪榕生物	3.62	32.9828	
600004	白云机场	3.62	38.6756	
600486	扬农化工	3.62	24.8273	
001979	招商蛇口	3.62	23.1474	
600785	新华百货	3.61	19.8954	
002116	中国海诚	3.61	9.2755	
600597	光明乳业	3.6	35.1657	
000965	天保基建	3.6	57.6446	
000952	广济药业	3.6	48.3582	
002737	葵花药业	3.59	59.7333	
002534	杭锅股份	3.59	21.9471	
603316	诚邦股份	3.59	24.5572	
300543	朗科智能	3.59	19.887	
601668	中国建筑	3.58	8.9367	
600739	辽宁成大	3.58	12.3985	
000338	潍柴动力	3.58	20.6311	
603968	醋化股份	3.57	22.2282	
002562	兄弟科技	3.57	46.8581	
300406	九强生物	3.57	74.2454	
000661	长春高新	3.55	87.5923	
300246	宝莱特	3.55	38.1953	
603298	杭叉集团	3.55	20.3105	
600120	浙江东方	3.55	5.7407	
600261	阳光照明	3.54	26.2415	
600518	康美药业	3.54	29.5777	
300436	广生堂	3.54	88.9352	
000524	岭南控股	3.54	18.7017	
300507	苏奥传感	3.54	29.4665	
600020	中原高速	3.54	46.2431	
600217	中再资环	3.53	60.5048	
002048	宁波华翔	3.53	20.862	
603758	秦安股份	3.53	30.0252	
000692	惠天热电	3.53	14.9415	
600919	江苏银行	3.52	41.3344	
300547	川环科技	3.51	32.3319	
603158	腾龙股份	3.5	34.8105	
603359	东珠生态	3.5	26.0602	
600185	格力地产	3.49	42.7881	
603701	德宏股份	3.49	33.9981	
603089	正裕工业	3.49	31.5985	
300124	汇川技术	3.49	46.5688	
601678	滨化股份	3.49	24.5394	
300548	博创科技	3.49	37.1162	
000759	中百集团	3.48	20.9572	
603421	鼎信通讯	3.47	74.0001	
002462	嘉事堂	3.46	10.6769	
600029	南方航空	3.46	14.747	
300360	炬华科技	3.46	36.1432	
601899	紫金矿业	3.45	14.1322	
300463	迈克生物	3.44	53.8969	
300204	舒泰神	3.44	95.1924	
002899	英派斯	3.44	38.0953	
601566	九牧王	3.43	57.7299	
300606	金太阳	3.43	38.3465	
002677	浙江美大	3.43	55.9881	
600009	上海机场	3.42	45.3529	
600600	青岛啤酒	3.42	40.9509	
002823	凯中精密	3.42	28.9221	
300100	双林股份	3.42	24.5253	
002793	东音股份	3.41	28.869	
300286	安科瑞	3.41	56.5569	
300298	三诺生物	3.41	67.33	
002606	大连电瓷	3.41	36.3029	
603010	万盛股份	3.4	23.758000000000003	
300600	瑞特股份	3.4	54.0117	
600062	华润双鹤	3.39	54.9645	
601006	大秦铁路	3.39	29.5664	
603086	先达股份	3.39	26.2611	
300457	赢合科技	3.39	32.8521	
000639	西王食品	3.38	37.2002	
002345	潮宏基	3.38	39.3967	
300266	兴源环境	3.37	24.1639	
002367	康力电梯	3.37	36.1908	
600742	一汽富维	3.37	6.5112	
002236	大华股份	3.36	39.7464	
300673	佩蒂股份	3.36	31.8283	
603808	歌力思	3.35	72.7023	
600327	大东方	3.35	15.4623	
002450	康得新	3.35	37.5856	
