code	name	currentratio	quickratio	cashratio	
000519	中兵红箭	2.7669999599456787	1.7711000442504883	99.96399688720703	
300188	美亚柏科	2.541100025177002	1.9718999862670898	135.0238037109375	
002337	赛象科技	3.0985000133514404	2.2088000774383545	66.09950256347656	
600658	电子城	6.118100166320801	4.089000225067139	329.0516052246094	
002871	伟隆股份	2.58240008354187	1.9646999835968018	87.6875	
601717	郑煤机	3.670099973678589	3.254699945449829	150.31930541992188	
603860	中公高科	4.142399787902832	3.5797998905181885	131.47509765625	
600894	广日股份	1.9320000410079956	1.690500020980835	113.6249008178711	
300552	万集科技	3.705399990081787	2.927999973297119	74.27110290527344	
002391	长青股份	1.885599970817566	1.170799970626831	24.203899383544922	
300134	大富科技	2.7105000019073486	2.45989990234375	196.9093017578125	
002605	姚记扑克	1.9013999700546265	1.2519999742507935	38.74150085449219	
300242	佳云科技	1.8907999992370605	1.8907999992370605	36.452701568603516	
603366	日出东方	2.051300048828125	1.769700050354004	59.78839874267578	
600688	上海石化	1.9420000314712524	1.375100016593933	97.51419830322266	
300162	雷曼股份	4.230899810791016	3.6947999000549316	61.60300064086914	
300365	恒华科技	3.3917999267578125	3.0195000171661377	47.81460189819336	
002849	威星智能	3.5250000953674316	2.862799882888794	165.7790069580078	
002755	东方新星	3.78439998626709	3.6164000034332275	138.568603515625	
300551	古鳌科技	4.356500148773193	3.2255001068115234	146.06289672851562	
002761	多喜爱	4.31850004196167	2.203000068664551	64.36219787597656	
603858	步长制药	1.7791999578475952	1.4521000385284424	57.950199127197266	
300491	通合科技	3.122299909591675	2.8183000087738037	154.84429931640625	
000833	贵糖股份	2.7037999629974365	1.9639999866485596	136.74130249023438	
002772	众兴菌业	5.5894999504089355	5.292399883270264	72.7177963256836	
300009	安科生物	1.3726999759674072	1.173799991607666	12.942500114440918	
002014	永新股份	2.8445000648498535	2.239300012588501	93.91110229492188	
600982	宁波热电	4.776400089263916	4.200200080871582	152.74319458007812	
600558	大西洋	2.275899887084961	1.5785000324249268	29.32990074157715	
002114	罗平锌电	1.1885000467300415	0.529699981212616	33.894901275634766	
300348	长亮科技	5.1255998611450195	5.115699768066406	206.08509826660156	
002395	双象股份	2.6085000038146973	1.503999948501587	71.99469757080078	
603758	秦安股份	1.7788000106811523	0.9607999920845032	27.138599395751953	
002012	凯恩股份	2.5625	1.878600001335144	36.772300720214844	
300263	隆华节能	2.499300003051758	1.951799988746643	47.33539962768555	
000869	张裕A	1.8315999507904053	1.0636999607086182	67.25489807128906	
603727	博迈科	3.1142001152038574	2.9583001136779785	182.09820556640625	
603003	龙宇燃油	3.267699956893921	3.0028998851776123	217.57919311523438	
002086	东方海洋	2.808199882507324	1.1936999559402466	71.21839904785156	
