code	name	mbrg	nprg	
000819	岳阳兴长	40.121700286865234	7.154099941253662	
603598	引力传媒	53.99089813232422	6.803400039672852	
002771	真视通	26.24970054626465	6.736299991607666	
600370	三房巷	16.147600173950195	6.516499996185303	
300281	金明精机	56.4630012512207	5.832200050354004	
300481	濮阳惠成	17.7716007232666	5.6732001304626465	
300470	日机密封	20.472999572753906	5.663099765777588	
002230	科大讯飞	35.287200927734375	5.505499839782715	
300488	恒锋工具	43.324501037597656	5.294400215148926	
300311	任子行	115.42559814453125	5.291800022125244	
002482	广田集团	17.943099975585938	4.980000019073486	
300156	神雾环保	129.8708953857422	4.934199810028076	
600698	湖南天雁	47.58039855957031	4.8520002365112305	
002422	科伦药业	21.447200775146484	3.4783999919891357	
300024	机器人	27.232999801635742	3.4126999378204346	
